## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
58,Future-Proof Your Organization for the Next Era of Business Travel,blog,"With Gen Z on track to make up roughly 30% of the U.S. workforce by 2030, meeting the expectations of these tech-savvy employees makes good business sense.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-01/284383_SAP_AI_PHONE_2836_Hi-Res_RGB_RET_2600.jpg?h=5377e872&itok=7Hn69fK3, ,https://www.concur.com/blog/article/future-proof-your-organization-for-next-era-business-travel, , ,134,Business Continuity, , , , , , , , ,
59,6 Questions to Ask When Incorporating Duty of Care into Your Travel Program,blog,"Over the past few years, employee wellness has taken center stage. Leaders are increasingly expected to weave wellness into the fabric of their companies, which means creating a culture of care is no",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-01/272302_272302_l_srgb_s_gl.jpg?h=5258ae62&itok=y9GYSXve, ,https://www.concur.com/blog/article/6-questions-to-ask-when-incorporating-duty-care-into-your-travel-program, , ,135,Business Continuity, , , , , , , , ,
60,Save Costs on Ground Transportation Spend with Rideshare,blog,"If you could save your organization money and help your team travel more safely, would you? Rhetorical question — of course you would! Our quick fix: increase rideshare over other ground transportatio",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-01/283504_GettyImages-726791257_super_2600.jpg?h=01ad7a6c&itok=BS0ig6hm, ,https://www.concur.com/blog/article/save-costs-on-ground-transportation-spend-with-rideshare, , ,136,Business Continuity, , , , , , , , ,
61,Taking the Wheel with Travel,blog,"It’s no surprise that travel programs have been all over the road in the last few years. And as you’ve tried to straighten things out again, leadership has been asking with more and more regularity th",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-01/286073_GettyImages-683579688_2600.jpg?h=9a758656&itok=F3a1TYY7, ,https://www.concur.com/blog/article/taking-wheel-with-travel, , ,137,Business Continuity, , , , , , , , ,
62,The C-Suite is Wondering What Travel is Up To,blog,"Naturally, what matters to leadership matters to everyone. But the stress their scrutiny is causing is often only felt by the folks at the helm of your travel program. Like you, for example. And when",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-01/280724_GettyImages-489632702_super_low.jpg?h=f20fc41e&itok=n8ho1LNx, ,https://www.concur.com/blog/article/c-suite-is-wondering-what-travel-is-up-to, , ,138,Business Continuity, , , , , , , , ,
63,How to Save Money on Travel With TripIt,blog,"In today’s economy, travel-related costs can add up quickly. Planning a trip often means budgeting for high gas prices, fluctuating hotel and flight rates, inflation, and extra security measures, like",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-01/279220_GettyImages-629646297_low.jpg?h=ebe54709&itok=JXIOYagj, ,https://www.concur.com/blog/article/how-to-save-money-on-travel-with-tripit, , ,139,Business Continuity, , , , , , , , ,
64,Duty of Care: Protecting Your Travelers Protects Your Bottom Line with Deloitte,blog,"Businesses balance many competing priorities. But no matter what else is stacked up against it, employee well-being tips the scale of importance every time. Over the past few years, employee wellness",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-01/275691_275691_l_srgb_s_gl.jpg?h=dfaa3a43&itok=sEI6-SfX, ,https://www.concur.com/blog/article/duty-care-protecting-your-travelers-protects-your-bottom-line-with-deloitte, , ,140,Business Continuity, , , , , , , , ,
65,Where Are Your Travel & Expense Savings Hiding?,blog,"Much of the savings come by reducing the inefficiencies of doing business on paper, with spreadsheets or with semi-automated solutions. Things like the time spent filling out and submitting expense re",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-12/pictry2.png?h=d75a05c1&itok=UdLN43iO, ,https://www.concur.com/blog/article/where-are-your-travel-expense-savings-hiding, , ,141,Business Continuity, , , , , , , , ,
66,24 Tips to Optimize Airfare Spend and Lower Travel Costs,blog,"To understand the true cost of travel, you must first crunch the numbers to learn how they affect your planning and bottom line. Fortunately, we’ve done some of the analysis for you.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-02/280724_GettyImages-489632702_medium_jpg%20%281%29.jpg?h=f9d8433b&itok=O-n-0bxh, ,https://www.concur.com/blog/article/24-tips-to-optimize-airfare-spend-and-lower-travel-costs, , ,142,Business Continuity, , , , , , , , ,
67,Travel Priorities for Business Leaders in 2023,blog,"With lingering uncertainty as 2022 ends, 2023 will bring new challenges as a test of leaders’ abilities to do more with less. Here are Charlie Sultan's top predictions for the new year.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-12/290870_CONCUR.HOUSE_6426.jpg?h=cdcc5386&itok=IfZ4Gpwz, ,https://www.concur.com/blog/article/travel-priorities-for-business-leaders-in-2023, , ,143,Business Continuity, , , , , , , , ,
68,Rewriting the Rules: How the Next Generation Is Shaping the Future of Business Travel,blog,"Business travel has, without question, changed drastically over the past few years, leaving many wondering if it will ever be the same again. While it’s hard to know what exactly the future holds, the",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-12/280781_GettyImages-531932944_medium_jpg.jpg?h=11012455&itok=kCOICOx1, ,https://www.concur.com/blog/article/rewriting-rules-how-next-generation-is-shaping-future-business-travel, , ,144,Business Continuity, , , , , , , , ,
69,New SAP Concur Partnership Integrates BlueSky with Concur TripLink to Bring End-to-End T&E Experience to China Market,blog,"To expand SAP Concur's travel options in China, in collaboration with select TMC partners, a new BlueSky integration with Concur TripLink provides an end-to-end travel and expense management solution.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-11/287567_GettyImages-1194852020%5B2362%5D.jpg?h=89556dd5&itok=Zl7oedHK, ,https://www.concur.com/blog/article/new-partnership-bluesky-concur-triplink-end-to-end-te-experience-china, , ,145,Business Continuity, , , , , , , , ,
70,Here's the Travel Expense Policy Template You Need,blog,"Setting clear guidelines is important in every aspect of business, particularly with your most valued audience – your employees.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/blog/1509549722784-expense-template-2.jpg?h=25e02509&itok=CnYkg6zW, ,https://www.concur.com/blog/article/heres-travel-expense-policy-template-you-need, , ,146,Business Continuity, , , , , , , , ,
71,"Hear Why SAP Concur Solutions Are G2 Leaders for Travel, Expense, and Invoice Management",blog,"Our users have spoken (more than 5,000 of them!) and they have ranked us #1 across three categories.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/blog/1621527267194-g2%20grid%20leader.png?h=f9bc105c&itok=IOBIvDng, ,https://www.concur.com/blog/article/hear-why-sap-concur-solutions-are-g2-leaders-travel-expense-and-invoice-management, , ,147,Business Continuity, , , , , , , , ,
72,Business Travel Technology Trends and Apps - Looking to the Future,blog,"The right travel apps and tools can eliminate many of the most stressful aspects of business travel, which helps business travelers do their jobs more efficiently and effectively.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2023-03/AdobeStock_246060487.jpeg?h=eef3f46b&itok=89GxjH7C, ,https://www.concur.com/blog/article/business-travel-technology-trends-and-apps-looking-future, , ,148,Business Continuity, , , , , , , , ,
73,What Is Top of Mind for SMB Travelers in 2022?,blog,The majority of the world’s businesses—including more than 30 million in the U.S. alone—fall within the small to medium-sized business (SMB) category. Defined for the purposes of the SAP Concur Global,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-09/280789_GettyImages-535468759_medium_jpg.jpg?h=fa91dcbf&itok=gJlGuTNy, ,https://www.concur.com/blog/article/what-top-mind-smb-travelers-2022, , ,149,Business Continuity, , , , , , , , ,
74,"The Magic of Keeping It Simple: Implementing Travel, Expense, and Invoice Automation",blog,"Join us for this episode of SAP Concur Conversations as we dive into the importance of system integration and how project management experts, like those at Flexso, put the customer in the driver’s sea",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-09/283071_GettyImages-83267401_2600.jpg?h=11ba1226&itok=RYsuda4s, ,https://www.concur.com/blog/article/magic-keeping-it-simple-implementing-travel-expense-and-invoice-automation, , ,150,Business Continuity, , , , , , , , ,
75,"If This Was a Game, You’d be Winning",blog,"travel management isn’t a game, but if you have the right tools, you can definitely win. If you want to keep looking and discover even more, check out this Fusion webinar for all the facts.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-09/287524_GettyImages-961027034_medium_jpg.jpg?h=175a8d2d&itok=bM7RTV_Z, ,https://www.concur.com/blog/article/if-was-game-youd-be-winning, , ,151,Business Continuity, , , , , , , , ,
76,Generational Perspectives on Business Travel and What They Mean for Businesses,blog,"See what our Global Business Travel Survey found, and how we recommend business leaders and travel managers use this information to guide their next steps.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/276185_276185_l_srgb_s_gl.jpg?h=edddb56b&itok=kOCx4isD, ,https://www.concur.com/blog/article/generational-perspectives-business-travel-what-they-mean-for-business, , ,152,Business Continuity, , , , , , , , ,
77,Is That an Unabridged Dictionary or Your Travel Policy?,blog,"A recent SAP Concur travel policies webinar helps put it all into perspective. In less than 30 minutes, it shifts prevailing corporate policy from status-quo, rules-heavy travel manuscripts to simple",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/277219_277219_l_srgb_s_gl.jpg?h=e7ca5985&itok=YRW-Cld4, ,https://www.concur.com/blog/article/unabridged-dictionary-or-your-travel-policy, , ,153,Employee Experience, , , , , , , , ,
78,It’sTime to Take the Wheel.,blog,"Reshaping travel in your company isn’t like landing an aircraft, but to be honest, it might feel that way. Either way, it’s time to take the wheel of your program and start steering it in the right di",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/282900_offset_580883_2600.jpg?h=80f227de&itok=VRWiPvKP, ,https://www.concur.com/blog/article/itstime-take-wheel, , ,154,Employee Experience, , , , , , , , ,
79,AMA Recap: Travel Policies and New Travel Trends,blog,Read the recap of our first SAP Concur Community AMA all about travel policies and new travel trends.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/273798_273798_l_srgb_s_gl.jpg?h=437756d9&itok=xxKhs-he, ,https://www.concur.com/blog/article/ama-recap-travel-policies-and-new-travel-trends, , ,155,Employee Experience, , , , , , , , ,
80,Our Travel Evolution: Building the Travel Platform of the Future,blog,"With the evolution of Concur Travel, we’re not just redesigning our corporate booking tool. We are building the travel platform of the future, across all travel products and partners.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/290808_CONCUR.HOUSE_7849.jpg?h=d8bcdf52&itok=Kv7dO_e9, ,https://www.concur.com/blog/article/our-travel-evolution-building-travel-platform-future, , ,156,Employee Experience, , , , , , , , ,
81,Business Travelers are Going Green,blog,Ninety-four percent of global business travelers plan to take steps over the next 12 months to reduce the environmental impact of their business travel.,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/292502_GettyImages-1354075252_medium_jpg.jpg?h=bb5372ce&itok=ouq6VtRK, ,https://www.concur.com/blog/article/business-travelers-are-going-green, , ,157,Employee Experience, , , , , , , , ,
82,Make the Most of Every AP Moment with Automated Invoice Management,blog,"Concur Invoice fully integrates with the Concur Expense and Concur Travel solutions as well as with most major ERP and finance systems and an array of third-party apps and services, you can fit your",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/288242_GettyImages-1279395370_medium_jpg.jpg?h=9a540c7e&itok=YzgBsNnB, ,https://www.concur.com/blog/article/make-most-every-ap-moment-automated-invoice-management, , ,158,Employee Experience, , , , , , , , ,
83,Does it Feel Like Smaller Companies Have Bigger Problems?,blog,"Just because you don’t have thousands of employees, doesn’t mean your problems are small. Our survey shows how that affects business travel.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/283069_GettyImages-525441211_2600.jpg?h=f9b48b10&itok=v7lQi3gq, ,https://www.concur.com/blog/article/does-it-feel-smaller-companies-have-bigger-problems, , ,159,Employee Experience, , , , , , , , ,
84,One Way to Reduce the Stress of Travel Management,blog,"According to our new Global Business Travel Survey, the challenge of being a travel manager in today’s constantly evolving travel environment is more of a struggle than ever.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/285503_concur.hotel_.2018_00680_retouched.jpg?h=1a443ef7&itok=ZpB7QXt5, ,https://www.concur.com/blog/article/one-way-reduce-stress-travel-management, , ,160,Employee Experience, , , , , , , , ,
85,"Business Travelers are Ready to Go, but First a Few Requests",blog,"Business travel continues to change, and business travelers are speaking up about the changes they’d like to see.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/282364_concur.airport_1649.jpg?h=974c5d4f&itok=dwlzX5-S, ,https://www.concur.com/blog/article/business-travelers-are-ready-go-first-few-requests, , ,161,Employee Experience, , , , , , , , ,
86,Seize Every Moment with a Strong and Agile Spend Management Strategy,blog,"Ultimately, the right spend management strategy is one that moves your business forward by helping your finance team, buyers, travelers, partners, and vendors work more efficiently and effectively to",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/294051_GettyImages-1291801379_medium_jpg.jpg?h=e63061b6&itok=-esRka9J, ,https://www.concur.com/blog/article/seize-every-moment-strong-and-agile-spend-management-strategy, , ,162,Employee Experience, , , , , , , , ,
87,New Research Considers 2022 Impact on Business Travel,blog,"Overall willingness to travel for business in 2022 is high. Yet, 38% of global business travelers say that the trip itself is the most stressful stage of travel—a seven-point increase since 2021.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-08/290845_CONCUR.HOUSE_6502.jpg?h=e2ca9eb5&itok=t5kRVYKk, ,https://www.concur.com/blog/article/new-research-considers-2022-impact-business-travel, , ,163,Employee Experience, , , , , , , , ,
88,Viable for VAT? Verifying the Ins and Outs of Domestic and Foreign Tax Compliance with Blue dot,blog,"Employees are back to traveling for business, and with it, the requirement to track both domestic and foreign expenses for tax compliance initiatives abroad.",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-07/iStock-1272198408.jpg?h=322e7988&itok=J97Ka1No, ,https://www.concur.com/blog/article/viable-vat-verifying-ins-and-outs-domestic-and-foreign-tax-compliance-blue-dot, , ,164,Employee Experience, , , , , , , , ,
89,Concur Travel & Expense Recognized as a 2022 Top-Rated Software by TrustRadius,blog,We're excited to share that Concur Travel & Expense has again been named a Top-Rated Expense Management Software in two categories by TrustRadius,https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-07/LinkedIn%20Post.png?h=3d5aa8ec&itok=x3gvP-ko, ,https://www.concur.com/blog/article/concur-travel-expense-recognized-top-rated-software-trustradius, , ,165,Employee Experience, , , , , , , , ,
90,Time to Measure Up: An SAP Concur Podcast Conversation About Sustainability with Thrust Carbon,blog,"Your organization doesn’t need to commit to net zero today or completely change your travel policy. But if you start measuring and understanding, Brenna assures that “everything will be exponentially",https://www.concur.com/sites/g/files/sqenrx226/files/styles/square/public/2022-07/multiethnic-office-conference-room-meeting-multicultural-team-of-four-picture-id1363105086.jpg?h=8bebd392&itok=tmKkHkhl, ,https://www.concur.com/blog/article/time-measure-sap-concur-podcast-conversation-about-sustainability-thrust-carbon, , ,166,Employee Experience, , , , , , , , ,
